Rank,Points,Name,Age,M/F,Stance,Country,Style
22,"29,295",Julia Benedetti,20,F,Goofy,ESP,Park
23,"28,812",Heili Sirvio,13,F,Regular,FIN,Park
24,"28,799",Jordyn Barratt,25,F,Regular,USA,Park
25,"25,750",Grace Marhoefer,21,F,Regular,USA,Park
26,"24,929",Jordan Santana,20,F,Goofy,USA,Park
27,"21,989",Lilly Erickson,14,F,Regular,USA,Park
28,"19,850",Fernanda Tonissi,18,F,Regular,BRA,Park
29,"19,129",Fay De Fazio Ebert,15,F,Regular,CAN,Park
30,"15,994",Yujuan Li,21,F,Goofy,CHN,Park
31,"14,980",Gadea Moja,15,F,Regular,ESP,Park
32,"14,830",Yi-fan Lin,12,F,Regular,TPE,Park
33,"14,136",Emilie Alexandre,18,F,Regular,FRA,Park
34,"13,295",Hyunju Cho,17,F,Regular,KOR,Park
35,"12,612",Charlotte Heath,17,F,Goofy,AUS,Park
36,"12,399",Ceci Rendueles,16,F,Goofy,ESP,Park
37,"11,914",Coco Crafter,15,F,Regular,AUS,Park
38,"11,386",Aaliyah Wilson,18,F,Regular,AUS,Park
39,"11,072",Sofia Godoy,15,F,Goofy,BRA,Park
40,"9,737",Poppy Starr,24,F,Regular,AUS,Park
41,"8,686",Haohao Zheng,12,F,Regular,CHN,Park
42,"8,099",Lucrezia Zarattini,21,F,Goofy,ITA,Park
43,"7,533",Helena Laurino,12,F,Goofy,BRA,Park
44,"6,423",Hedda Hjertberg,16,F,Goofy,SWE,Park
45,"6,300",Erica Leguizamon,17,F,Goofy,BRA,Park
46,"6,172",Shani Paz,17,F,Regular,ISR,Park
47,"6,075",Kihana Ogawa,23,F,Regular,JPN,Park
48,"5,399",Katelyn West,14,F,Regular,USA,Park
49,"5,277",Maja Spatscheck,18,F,Regular,NOR,Park
50,"4,020",Kisa Nakamura,24,F,Regular,JPN,Park
